,model,dimension,difficulty,average time,average time variance,variance of time variance batches,average accuracy,average accuracy variance,variance of accuracy variance batches
0,case-to-case,2,100,3.197900e-05,1.995972e-09,3.252023e-17,1.0,0.0,0.0
1,case-to-case,2,10,4.570091e-06,9.407751e-11,4.123022e-19,1.0,0.0,0.0
2,case-to-case,2,20,1.084382e-05,1.188260e-10,4.137017e-20,1.0,0.0,0.0
3,case-to-case,2,30,1.060409e-05,6.458871e-10,1.658300e-17,1.0,0.0,0.0
4,case-to-case,2,40,1.178555e-05,1.405210e-10,3.012390e-20,1.0,0.0,0.0
5,case-to-case,2,50,1.434109e-05,2.428281e-10,3.458247e-19,1.0,0.0,0.0
6,case-to-case,2,60,1.645064e-05,1.810980e-10,4.973509e-20,1.0,0.0,0.0
7,case-to-case,2,70,1.909609e-05,1.930976e-10,4.787027e-20,1.0,0.0,0.0
8,case-to-case,2,80,2.027645e-05,1.549995e-10,2.427461e-20,1.0,0.0,0.0
9,case-to-case,2,90,2.147527e-05,1.774975e-10,3.141536e-20,1.0,0.0,0.0
10,case-to-case,3,100,3.807174e-01,8.644583e-01,3.517876e+00,1.0,0.0,0.0
11,case-to-case,3,10,3.840827e-05,1.954886e-08,1.395091e-14,1.0,0.0,0.0
12,case-to-case,3,20,6.532182e-05,3.970475e-08,2.018022e-14,1.0,0.0,0.0
13,case-to-case,3,30,8.818191e-05,2.004970e-08,5.076971e-15,1.0,0.0,0.0
14,case-to-case,3,40,2.101705e-04,1.150434e-07,4.615942e-14,1.0,0.0,0.0
15,case-to-case,3,50,8.476805e-04,8.340695e-06,1.617445e-09,1.0,0.0,0.0
16,case-to-case,3,60,6.755691e-03,5.679839e-04,5.400615e-06,1.0,0.0,0.0
17,case-to-case,3,70,3.670816e-02,2.426841e-02,1.968326e-02,1.0,0.0,0.0
18,case-to-case,3,80,1.393438e-01,1.149047e+00,7.631741e+01,1.0,0.0,0.0
19,case-to-case,3,90,3.147635e-01,4.717674e+00,1.355560e+03,1.0,0.0,0.0
20,case-to-group,2,100,3.751864e-05,1.787772e-09,8.468738e-18,1.0,0.0,0.0
21,case-to-group,2,10,5.582182e-06,1.180510e-10,6.451244e-19,1.0,0.0,0.0
22,case-to-group,2,20,8.406636e-06,8.837887e-11,9.620037e-21,1.0,0.0,0.0
23,case-to-group,2,30,8.157636e-06,6.247442e-11,7.825577e-21,1.0,0.0,0.0
24,case-to-group,2,40,1.380218e-05,4.226388e-10,4.176757e-19,1.0,0.0,0.0
25,case-to-group,2,50,1.709755e-05,3.449336e-10,1.433393e-19,1.0,0.0,0.0
26,case-to-group,2,60,1.823382e-05,4.745888e-10,4.732453e-19,1.0,0.0,0.0
27,case-to-group,2,70,2.867636e-05,8.497426e-09,2.375270e-15,1.0,0.0,0.0
28,case-to-group,2,80,3.052745e-05,7.897957e-09,2.798571e-15,1.0,0.0,0.0
29,case-to-group,2,90,2.836082e-05,9.010315e-10,7.135540e-19,1.0,0.0,0.0
30,case-to-group,3,100,1.381165e-01,8.859070e-02,2.193613e-02,1.0,0.0,0.0
31,case-to-group,3,10,2.629800e-05,1.493400e-08,5.941529e-15,1.0,0.0,0.0
32,case-to-group,3,20,4.156027e-05,1.177730e-08,4.988626e-15,1.0,0.0,0.0
33,case-to-group,3,30,5.355782e-05,2.281463e-08,8.720772e-15,1.0,0.0,0.0
34,case-to-group,3,40,1.092791e-04,5.818732e-08,2.407922e-14,1.0,0.0,0.0
35,case-to-group,3,50,3.706555e-04,8.309723e-07,6.386459e-12,1.0,0.0,0.0
36,case-to-group,3,60,3.092190e-03,1.393108e-04,1.938070e-07,1.0,0.0,0.0
37,case-to-group,3,70,1.643371e-02,4.725806e-03,2.304641e-04,1.0,0.0,0.0
38,case-to-group,3,80,5.047678e-02,7.910346e-02,2.696185e-01,1.0,0.0,0.0
39,case-to-group,3,90,1.025226e-01,7.783331e-02,2.262000e-02,1.0,0.0,0.0
40,constraint,2,100,7.851491e-05,4.760183e-09,8.310824e-17,1.0,0.0,0.0
41,constraint,2,10,4.439000e-06,8.457565e-11,3.606529e-19,1.0,0.0,0.0
42,constraint,2,20,7.344636e-06,4.484229e-11,1.244253e-20,1.0,0.0,0.0
43,constraint,2,30,1.395945e-05,1.683576e-10,2.794096e-20,1.0,0.0,0.0
44,constraint,2,40,1.620627e-05,2.602796e-10,1.896545e-19,1.0,0.0,0.0
45,constraint,2,50,2.863591e-05,6.760083e-10,4.260717e-19,1.0,0.0,0.0
46,constraint,2,60,3.733055e-05,9.752718e-10,5.373389e-19,1.0,0.0,0.0
47,constraint,2,70,4.949509e-05,1.595064e-09,2.398877e-18,1.0,0.0,0.0
48,constraint,2,80,6.663064e-05,1.167890e-08,5.270683e-15,1.0,0.0,0.0
49,constraint,2,90,8.967600e-05,4.182103e-08,5.653419e-14,1.0,0.0,0.0
50,constraint,3,100,1.270792e+00,1.004521e+01,5.629204e+02,1.0,0.0,0.0
51,constraint,3,10,3.278491e-05,8.969099e-09,5.993516e-15,1.0,0.0,0.0
52,constraint,3,20,8.833382e-05,3.586370e-08,1.869717e-14,1.0,0.0,0.0
53,constraint,3,30,1.905037e-04,6.209887e-08,3.475744e-14,1.0,0.0,0.0
54,constraint,3,40,4.994155e-04,5.824538e-07,2.156938e-12,1.0,0.0,0.0
55,constraint,3,50,2.314155e-03,2.649780e-05,2.923061e-09,1.0,0.0,0.0
56,constraint,3,60,2.656989e-02,1.418309e-02,3.426414e-03,1.0,0.0,0.0
57,constraint,3,70,1.418433e-01,3.449985e-01,1.313995e+00,1.0,0.0,0.0
58,constraint,3,80,3.634747e-01,1.175323e+00,8.326358e+00,1.0,0.0,0.0
59,constraint,3,90,1.125888e+00,3.658195e+01,6.274428e+04,1.0,0.0,0.0
60,crook,2,100,3.485426e-04,7.007291e-08,4.215430e-14,1.0,0.0,0.0
61,crook,2,10,4.684827e-05,3.102518e-09,3.635124e-16,1.0,0.0,0.0
62,crook,2,20,8.444191e-05,2.755609e-08,1.066922e-14,1.0,0.0,0.0
63,crook,2,30,1.019970e-04,1.300020e-08,4.770783e-15,1.0,0.0,0.0
64,crook,2,40,1.458030e-04,2.722830e-08,1.293661e-14,1.0,0.0,0.0
65,crook,2,50,2.342067e-04,5.387052e-08,3.114637e-14,1.0,0.0,0.0
66,crook,2,60,2.340855e-04,4.552018e-08,1.694189e-14,1.0,0.0,0.0
67,crook,2,70,2.768937e-04,4.837813e-08,2.055781e-14,1.0,0.0,0.0
68,crook,2,80,3.160370e-04,5.452490e-08,1.910913e-14,1.0,0.0,0.0
69,crook,2,90,3.472320e-04,6.153950e-08,3.307394e-14,1.0,0.0,0.0
70,crook,3,100,7.779032e-03,1.054603e-05,1.256439e-10,1.0,0.0,0.0
71,crook,3,10,7.186160e-04,3.601245e-07,7.291792e-13,1.0,0.0,0.0
72,crook,3,20,1.442408e-03,8.784801e-07,3.347611e-12,1.0,0.0,0.0
73,crook,3,30,2.334052e-03,1.784336e-06,1.096113e-11,1.0,0.0,0.0
74,crook,3,40,3.288498e-03,2.420678e-06,1.519907e-11,1.0,0.0,0.0
75,crook,3,50,4.293442e-03,3.306209e-06,2.108177e-11,1.0,0.0,0.0
76,crook,3,60,5.200511e-03,4.410746e-06,3.328452e-11,1.0,0.0,0.0
77,crook,3,70,6.139156e-03,5.649841e-06,3.233010e-11,1.0,0.0,0.0
78,crook,3,80,6.907602e-03,8.322350e-06,9.740410e-11,1.0,0.0,0.0
79,crook,3,90,7.974403e-03,1.978145e-05,2.775283e-09,1.0,0.0,0.0
80,faisceau,2,100,3.206591e-05,3.658619e-10,4.117299e-18,1.0,0.0,0.0
81,faisceau,2,10,8.370455e-06,2.894319e-11,1.288513e-21,1.0,0.0,0.0
